# Maintained admission policy, not a handler-authorization or payload-redaction claim.
# public: no login; shared/self/gateway: any enabled login; control: live grant or admin; host: admin.
# Self-service ownership, gateway lease, controller generation/tickets and origins remain handler/middleware checks.
# Keep every ServeMux registration exactly once; GET rows also cover implicit HEAD.
host	DELETE /api/accounts/{id}/control-grant
host	GET /api/audit
host	GET /api/audit/export
self	DELETE /api/auth/profile-image
self	DELETE /api/auth/recovery-codes
self	DELETE /api/auth/sessions
self	DELETE /api/auth/sessions/{id}
control	DELETE /api/chat/sessions/{id}
host	DELETE /api/labs/observations/{id}
host	DELETE /api/labs/tests/{id}
host	DELETE /api/library/patterns/{id}
host	DELETE /api/library/programs/{id}
host	DELETE /api/llm/imports/{id}
host	DELETE /api/llm/models/{id}
host	DELETE /api/llm/runtime/build
host	DELETE /api/media/job
host	DELETE /api/media/scan
host	DELETE /api/media/thumbnails
host	DELETE /api/memory/{id}
host	DELETE /api/personas/{id}
host	DELETE /api/personas/{id}/lore/{lore_id}
host	DELETE /api/personas/{id}/portrait
host	DELETE /api/prompt-sets/{id}
host	DELETE /api/setup/install
host	DELETE /api/transport/intiface/scan
host	DELETE /api/voice/module/update
public	GET /
host	GET /api/accounts
host	GET /api/accounts/{id}/control-grant
self	GET /api/accounts/{id}/profile-image
self	GET /api/auth/control-identities
self	GET /api/auth/sessions
public	GET /api/auth/status
self	GET /api/auth/recovery-codes
shared	GET /api/chat/messages
shared	GET /api/chat/messages/{seq}/content
shared	GET /api/chat/sessions
shared	GET /api/controller
self	GET /api/controller/commands/{id}
host	GET /api/diagnostics/prompt-composition
host	GET /api/labs/llm
host	GET /api/labs/llm/status
host	GET /api/labs/observations
host	GET /api/labs/tests
host	GET /api/labs/tests/{id}
shared	GET /api/library
shared	GET /api/library/patterns/{id}/export
shared	GET /api/library/programs/{id}/export
host	GET /api/llm/duplicates
host	GET /api/llm/imports/{id}
host	GET /api/llm/models
host	GET /api/llm/ollama/models
host	GET /api/llm/runtime
shared	GET /api/llm/status
shared	GET /api/media/job
shared	GET /api/media/scan
host	GET /api/media/tools
shared	GET /api/media/videos
shared	GET /api/media/videos/{id}/funscript
shared	GET /api/media/videos/{id}/stream
shared	GET /api/media/videos/{id}/thumbnail
shared	GET /api/memory
shared	GET /api/modes
shared	GET /api/motion/events
shared	GET /api/motion/state
host	GET /api/network
host	GET /api/network/report
shared	GET /api/personas
shared	GET /api/personas/{id}/export
shared	GET /api/personas/{id}/lore
shared	GET /api/personas/{id}/portrait
shared	GET /api/prompt-sets
shared	GET /api/settings
host	GET /api/setup
host	GET /api/setup/install/{id}/report
shared	GET /api/state
shared	GET /api/status
host	GET /api/traces
host	GET /api/traces/last-motion
gateway	GET /api/transport/bluetooth/commands
host	GET /api/transport/bluetooth/diagnostics
host	GET /api/transport/bluetooth/events
host	GET /api/transport/bluetooth/state
shared	GET /api/transport/bluetooth/status
host	GET /api/transport/cloud/diagnostics
host	GET /api/transport/cloud/events
host	GET /api/transport/cloud/state
shared	GET /api/transport/diagnostics
host	GET /api/transport/intiface/diagnostics
shared	GET /api/transport/intiface/status
shared	GET /api/update
shared	GET /api/voice/requests/{id}
shared	GET /api/voice/requests/{id}/audio
shared	GET /api/voice/requests/{id}/audio-chunk
shared	GET /api/voice/status
public	GET /healthz
self	PATCH /api/auth/sessions/{id}
host	PATCH /api/library/patterns/{id}
host	PATCH /api/memory/{id}
host	PATCH /api/personas/{id}
host	PATCH /api/personas/{id}/lore/{lore_id}
host	POST /api/accounts
public	POST /api/auth/bootstrap
public	POST /api/auth/login
public	POST /api/auth/recover
self	POST /api/auth/recovery-codes
self	POST /api/auth/logout
self	POST /api/chat/cursor
control	POST /api/chat/sessions
control	POST /api/chat/stream
self	POST /api/controller/heartbeat
control	POST /api/controller/takeover
host	POST /api/host/path-picker
host	POST /api/labs/llm/chat
host	POST /api/labs/llm/reset
host	POST /api/labs/llm/session
host	POST /api/labs/observations
host	POST /api/labs/tests
host	POST /api/labs/tests/{id}/feedback
control	POST /api/library/feedback
control	POST /api/library/feedback/{id}/undo
host	POST /api/library/import
host	POST /api/library/patterns
control	POST /api/library/patterns/{id}/play
host	POST /api/library/preview
control	POST /api/library/programs/{id}/play
host	POST /api/llm/duplicates/terminate
host	POST /api/llm/imports/gguf
host	POST /api/llm/imports/ollama
host	POST /api/llm/load
host	POST /api/llm/ollama/scan
host	POST /api/llm/runtime/build
host	POST /api/llm/unload
host	POST /api/media/compatibility
host	POST /api/media/convert
control	POST /api/media/duration
control	POST /api/media/playback
host	POST /api/media/scan
control	POST /api/media/script-offset
control	POST /api/media/sync
host	POST /api/media/thumbnails
host	POST /api/media/videos/{id}/thumbnail
host	POST /api/memory
host	POST /api/memory/clear
host	POST /api/memory/enabled
control	POST /api/modes/start
control	POST /api/modes/stop
host	POST /api/motion/lab/flow
host	POST /api/motion/lab/preview
host	POST /api/motion/lab/proposal
control	POST /api/motion/pause
control	POST /api/motion/quick
control	POST /api/motion/resume
control	POST /api/motion/start
public	POST /api/motion/stop
control	POST /api/motion/target
host	POST /api/network/validate
host	POST /api/personas
host	POST /api/personas/import
host	POST /api/personas/{id}/duplicate
host	POST /api/personas/{id}/lore
host	POST /api/personas/{id}/portrait
host	POST /api/prompt-sets
host	POST /api/settings/reset
host	POST /api/setup/complete
host	POST /api/setup/install
host	POST /api/setup/llm/install
host	POST /api/setup/parakeet/install
host	POST /api/setup/voice/install
gateway	POST /api/transport/bluetooth/ack
host	POST /api/transport/bluetooth/check
host	POST /api/transport/bluetooth/connect
gateway	POST /api/transport/bluetooth/disconnect
gateway	POST /api/transport/bluetooth/status
host	POST /api/transport/bluetooth/stop
host	POST /api/transport/cloud/check
host	POST /api/transport/cloud/connect
host	POST /api/transport/cloud/disconnect
host	POST /api/transport/cloud/stop
host	POST /api/transport/intiface/connect
host	POST /api/transport/intiface/disconnect
host	POST /api/transport/intiface/scan
host	POST /api/transport/intiface/select
host	POST /api/voice/module/update
control	POST /api/voice/requests/{id}/cancel
control	POST /api/voice/requests/{id}/played
control	POST /api/voice/transcriptions
host	POST /api/voice/workers/{role}/model
host	POST /api/voice/workers/{role}/restart
host	POST /api/voice/workers/{role}/start
host	POST /api/voice/workers/{role}/stop
host	POST /api/voice/workers/{role}/test
host	PUT /api/accounts/{id}/control-grant
host	PUT /api/accounts/{id}/disabled
host	PUT /api/accounts/{id}/password
self	PUT /api/auth/control-identity
self	PUT /api/auth/password
self	PUT /api/auth/profile-image
control	PUT /api/chat/sessions/{id}/active
control	PUT /api/chat/sessions/{id}/persona
control	PUT /api/chat/sessions/{id}/save
host	PUT /api/library/auto-disable
control	PUT /api/modes/autopilot/arc
control	PUT /api/modes/autopilot/preferences
host	PUT /api/network
host	PUT /api/prompt-sets/{id}
host	PUT /api/settings
host	PUT /api/settings/device/connection-key
host	PUT /api/settings/labs
control	PUT /api/settings/llm-motion-mode
host	PUT /api/setup/preferences
control	PUT /api/voice/input-preferences
control	PUT /api/voice/preferences
public	GET /api/notice-preferences
public	PUT /api/notice-preferences
public	DELETE /api/notice-preferences
